SpeciesCode,StockID,YearC,FlagName,FleetCode,GearGrpCode,GearCode,LorD,TimeCatch,SampAreaCode,SquareTypeCode,QuadID,Lat,Lon,SexCode,SchoolTypeCode,IMI,IMA,Stock,Areac,Sexc,Monthc,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,7,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,0,0,63.89313025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,8,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,38.33587815,102.2290084,12.77862605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,8,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,115.0076345,1674.000013,715.6030589,51.1145042,0,25.5572521,12.77862605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,9,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,12.77862605,25.5572521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,9,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,0,12.77862605,204.4580168,12.77862605,0,12.77862605,12.77862605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,7,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,0,0,227.1600793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,8,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,136.2960476,363.4561269,45.43201586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,8,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,408.8881428,5951.594078,2544.192888,181.7280634,0,90.86403172,45.43201586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,9,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,45.43201586,90.86403172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,9,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,0,45.43201586,726.9122537,45.43201586,0,45.43201586,45.43201586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Espa?a,EU.ESP,TP,TRAP,L,17,BF58,1x1,4,36,6,U,n/a,20,399,East,ATL,unisex,Jul,0,0,26.46165466,264.6165467,767.3879853,4542.584052,6161.155262,11413.79371,10690.50849,16719.35548,8150.189638,2985.756701,418.9761989,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Espa?a,EU.ESP-ES-CANT_BFT,BB,BB,L,5,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,May,0,0,295.0617757,152.0015209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Espa?a,EU.ESP-ES-CANT_BFT,BB,BB,L,6,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Jun,0,0,319.0620158,265.8850132,0,3562.859177,904.0090448,265.8850132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Espa?a,EU.ESP-ES-CANT_BFT,BB,BB,L,7,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,208.943267,510.7502082,1601.89838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Espa?a,EU.ESP-ES-CANT_BFT,BB,BB,L,8,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,410.1217505,3463.250337,3508.81942,1458.210668,273.4145003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Espa?a,EU.ESP-ES-CANT_BFT,BB,BB,L,9,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,170.4330778,61.09865052,80.39296122,9.647155345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.France,EU.FRA,BB,BB,L,5,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,May,0,0,553.6851995,285.2317694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.France,EU.FRA,BB,BB,L,6,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Jun,0,0,598.7217947,498.934829,0,6685.726706,1696.378418,498.9348289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.France,EU.FRA,BB,BB,L,7,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,392.0832991,958.4258423,3005.97196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.France,EU.FRA,BB,BB,L,8,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,769.5959351,6498.810119,6584.320779,2736.341104,513.0639568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
