SpeciesCode,StockID,YearC,FlagName,FleetCode,GearGrpCode,GearCode,LorD,TimeCatch,SampAreaCode,SquareTypeCode,QuadID,Lat,Lon,SexCode,SchoolTypeCode,IMI,IMA,Stock,Areac,Sexc,Monthc,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Total
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,7,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,0,0,63.89313025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.89313025
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,8,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,38.33587815,102.2290084,12.77862605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.3435126
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,8,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,115.00763445,1674.0000126,715.60305885,51.1145042,0,25.5572521,12.77862605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2594.06108825
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,9,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,12.77862605,25.5572521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33587815
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,9,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,0,12.77862605,204.4580168,12.77862605,0,12.77862605,12.77862605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.572521
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,7,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,0,0,227.1600793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.1600793
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,8,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,136.29604758,363.45612686,45.43201586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.1841903
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,8,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,408.88814278,5951.594078,2544.1928878,181.72806344,0,90.86403172,45.43201586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9222.6992196
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,9,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,45.43201586,90.86403172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.29604758
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,9,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,0,45.43201586,726.91225372,45.43201586,0,45.43201586,45.43201586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908.64031716
BFT,ATE,1950,EU.España,EU.ESP,TP,TRAP,L,17,BF58,1x1,4,36,6,U,n/a,20,399,East,ATL,unisex,Jul,0,0,28.20376086,282.03760855,817.90906474,4841.6456128,6566.7756517,12165.2221808,11394.3193837,17820.076236,8686.7583422,3182.32434947,446.55954683,0,0,0,0,0,0,0,0,0,0,0,0,0,66231.83173765
BFT,ATE,1950,EU.España,EU.ESP-ES-CANT_BFT,BB,BB,L,5,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,May,0,0,327.70639139,168.81844405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.52483544
BFT,ATE,1950,EU.España,EU.ESP-ES-CANT_BFT,BB,BB,L,6,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Jun,0,0,354.36193516,295.30161273,0,3957.0416094,1004.0254831,295.3016127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5906.03225309
BFT,ATE,1950,EU.España,EU.ESP-ES-CANT_BFT,BB,BB,L,7,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,232.0600284,567.2578471,1779.126884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578.4447595
BFT,ATE,1950,EU.España,EU.ESP-ES-CANT_BFT,BB,BB,L,8,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,455.49620434,3846.4123914,3897.023082,1619.5420598,303.6641362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10122.13787374
BFT,ATE,1950,EU.España,EU.ESP-ES-CANT_BFT,BB,BB,L,9,BF54,ICCAT,0,0,0,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,189.28920481,67.85839418,89.28736076,10.71448329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.14944304
