SpeciesCode,StockID,YearC,FlagName,FleetCode,GearGrpCode,GearCode,LorD,TimeCatch,SampAreaCode,SquareTypeCode,QuadID,Lat,Lon,SexCode,SchoolTypeCode,IMI,IMA,Stock,Areac,Sexc,Monthc,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,7,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,0,0,4505.59425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,8,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,2121.344954,7966.057219,1171.771157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,8,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,6716.68652,124546.4665,65265.91708,5815.156093,0,4277.218179,2483.467021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,9,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,562.0842514,1415.720625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Germany,EU.DEU,UN,UNCL,L,9,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,0,705.624329,14988.8358,1312.790728,0,1650.644158,2039.803102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,7,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Jul,0,0,0,0,0,0,16018.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,8,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,7542.045382,28321.82713,4166.013278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,8,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Aug,0,0,0,0,0,23879.92319,442801.6767,232040.7662,20674.7003,0,15206.84958,8829.50269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,9,BF54,1x1,1,58,7,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,1998.38547,5033.330002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,ATE,1950,EU.Denmark,EU.DNK,UN,UNCL,L,9,BF54,1x1,1,60,4,U,n/a,20,399,East,ATL,unisex,Sep,0,0,0,0,0,2508.71538,53290.00342,4667.381998,0,5868.556703,7252.138572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
